doc_id,qa_count
DOC002,1.0
DOC003,1.0
DOC005,1.0
DOC006,1.0
DOC008,1.0
DOC001,0.0
DOC004,0.0
DOC007,0.0
DOC009,0.0
DOC010,0.0
DOC011,0.0
DOC012,0.0
